"uf","ano","dcl","pop","pib_prc","rcl","rcla","dtp","percentual_dtp_rcla"
"RR",2019,1627286620.94,576568,14292227000,4200526038.83,4200526038.83,1920741057.67,45.73
"RR",2020,270118035.41,605761,16024276000,4335140398.81,4335140398.81,1835778926.26,42.35
"RR",2021,-165842493.62,631181,18202579000,5540254194.44,5536991008.54,2119767863.26,38.28
"RR",2022,262536660.15,652713,21095342000,6383923484.56,6375269704.4,2864228547.83,44.93
"RR",2023,366451155.82,652713,25124805000,6869054525.67,6818167472.81,3360323930.91,49.28
"RR",2024,776399826.21,634805,0,7769605343.62,7746996007.26,3662385571.5,47.27
"RS",2019,89255394238,11329605,482464177000,39779435776.47,39650310675.47,18081995607.3,45.6
"RS",2020,93262905408.12,11377239,470941846000,42073517608.88,41982291926.88,17837642883.77,42.49
"RS",2021,98327576543.86,11422973,581283677000,53878109956.44,53790325445.44,22252688583.82,41.37
"RS",2022,100842876941.11,11466630,593633656000,50634029849.59,50491712052.59,24174176521.9,47.88
"RS",2023,104898747726.42,11466630,650107022000,56639116676.26,56486501147.27,25438441651.21,45.03
"RS",2024,110719293633.26,11088065,0,60043883382.48,59796150334.35,26144703960.3,43.72
"SC",2019,20146899402.5,7075494,323263857000,25092129460.15,25078267060.15,11472090455.43,45.75
"SC",2020,19022083882.79,7164788,349275016000,26861365172.05,26823036868.05,12048886135.44,44.92
"SC",2021,16480920704.79,7252502,428570889000,31050771461.09,31015355302.09,13380288445.83,43.14
"SC",2022,16236773950.14,7338473,466274103000,38260230919.84,38223585411.34,15990386728.14,41.83
"SC",2023,13660618693.01,7338473,513392973000,41178425490.53,41002835818.53,17465078733.58,42.59
"SC",2024,13184663137.39,7762154,0,46590341820.32,46437402114.32,18419358812.56,39.66
"SE",2019,3695263444.12,2278308,44689483000,8053614115,8053614115,3772624841.02,46.84
"SE",2020,3364371947.53,2298696,45409657000,8724606234.62,8611442070.62,4079772820.67,47.38
"SE",2021,2843275395.19,2318822,51861397000,9674448310.22,9611038125.61,4307026707.02,44.81
"SE",2022,3543671294.86,2338474,57372241000,11296095375.56,11266509996.42,4957344531.21,44
"SE",2023,2884664295.48,2338474,60816662000,12629587874.94,12555098860.32,5494301036.79,43.76
"SE",2024,1764039149.17,2211868,0,15308466568.23,15169854338.29,6124028436.09,40.37
"SP",2019,266730147182.02,45538936,2.348338e+12,160444552836.55,160359295919.93,71194688211.7,44.4
"SP",2020,274907386935.5,45919049,2377638980000,165229897154.96,164892618275.53,74992612397.39,45.48
"SP",2021,249588126649.45,46289333,2719751231000,197089874182.32,196835991677.1,76151422917.79,38.69
"SP",2022,264679333857.63,46649132,3130333203000,229464781384.87,229116679153.22,86901210788.16,37.93
"SP",2023,293473507896.39,46649132,3444814033000,229658088101.43,229187318031.19,97009484315.71,42.33
"SP",2024,317655576689.71,46024937,0,251366970706.76,250793910488.38,105811548439.06,42.19
"TO",2019,4564454228.92,1555229,39355941000,7365652704.9,7364314686.7,3455571175.55,46.92
"TO",2020,3246271201.31,1572866,43649803000,8198916362.18,8176158596.75,3701241745.55,45.27
"TO",2021,1970008799.89,1590248,51780764000,10053168262.52,10052110448.21,4051925979.9,40.31
"TO",2022,919652860.08,1607363,58208795000,12105998306.71,12104467859.45,4763300076.12,39.35
"TO",2023,599525761.68,1607363,64317699000,13094049260.01,12991895148.01,5829259009.36,44.87
"TO",2024,1598398609.4,1584306,0,14655407399.67,14600906289.62,6762633313.54,46.32
